wavelength (micron), reflectivity
5.110000000000000098e-01,1.157963550000000036e-01
5.120000000000000107e-01,1.178410829999999992e-01
5.130000000000000115e-01,1.199606950000000061e-01
5.140000000000000124e-01,1.221614320000000004e-01
5.150000000000000133e-01,1.243812710000000016e-01
5.160000000000000142e-01,1.265746040000000072e-01
5.170000000000000151e-01,1.287215379999999965e-01
5.180000000000000160e-01,1.308472049999999942e-01
5.190000000000000169e-01,1.330822229999999995e-01
5.200000000000000178e-01,1.351929349999999863e-01
5.210000000000000187e-01,1.371516040000000103e-01
5.220000000000000195e-01,1.390202969999999871e-01
5.230000000000000204e-01,1.406825959999999931e-01
5.240000000000000213e-01,1.422749439999999865e-01
5.250000000000000222e-01,1.438010720000000020e-01
5.260000000000000231e-01,1.450606730000000011e-01
5.270000000000000240e-01,1.460753899999999994e-01
5.280000000000000249e-01,1.469240790000000130e-01
5.290000000000000258e-01,1.476607080000000016e-01
5.300000000000000266e-01,1.481737919999999986e-01
5.310000000000000275e-01,1.485585990000000134e-01
5.320000000000000284e-01,1.488183560000000127e-01
5.330000000000000293e-01,1.489158309999999985e-01
5.340000000000000302e-01,1.490560089999999893e-01
5.350000000000000311e-01,1.491854039999999937e-01
5.360000000000000320e-01,1.493154100000000095e-01
5.370000000000000329e-01,1.496174160000000031e-01
5.380000000000000338e-01,1.502127480000000070e-01
5.390000000000000346e-01,1.510334999999999872e-01
5.400000000000000355e-01,1.519780239999999893e-01
5.410000000000000364e-01,1.531658009999999903e-01
5.420000000000000373e-01,1.543722299999999992e-01
5.430000000000000382e-01,1.555688980000000110e-01
5.440000000000000391e-01,1.568670000000000064e-01
5.450000000000000400e-01,1.581329629999999875e-01
5.460000000000000409e-01,1.592710350000000052e-01
5.470000000000000417e-01,1.602547179999999905e-01
5.480000000000000426e-01,1.611367419999999995e-01
5.490000000000000435e-01,1.619378880000000021e-01
5.500000000000000444e-01,1.627023400000000009e-01
5.510000000000000453e-01,1.634655580000000108e-01
5.520000000000000462e-01,1.641188640000000032e-01
5.530000000000000471e-01,1.647377429999999920e-01
5.540000000000000480e-01,1.653160599999999869e-01
5.550000000000000488e-01,1.657434339999999950e-01
5.560000000000000497e-01,1.661797050000000109e-01
5.570000000000000506e-01,1.665700380000000036e-01
5.580000000000000515e-01,1.668398759999999981e-01
5.590000000000000524e-01,1.670059919999999920e-01
5.600000000000000533e-01,1.670987869999999986e-01
5.610000000000000542e-01,1.671145400000000059e-01
5.620000000000000551e-01,1.670354460000000041e-01
5.629999999999999449e-01,1.668976279999999923e-01
5.639999999999999458e-01,1.667104530000000084e-01
5.649999999999999467e-01,1.664796970000000098e-01
5.659999999999999476e-01,1.662095829999999941e-01
5.669999999999999485e-01,1.659212609999999866e-01
5.679999999999999494e-01,1.656240770000000084e-01
5.689999999999999503e-01,1.653212729999999908e-01
5.699999999999999512e-01,1.650115100000000001e-01
5.709999999999999520e-01,1.646827299999999994e-01
5.719999999999999529e-01,1.643387020000000032e-01
5.729999999999999538e-01,1.639938800000000085e-01
5.739999999999999547e-01,1.636291830000000114e-01
5.749999999999999556e-01,1.633289790000000130e-01
5.759999999999999565e-01,1.631102670000000032e-01
5.769999999999999574e-01,1.628346539999999953e-01
5.779999999999999583e-01,1.625731179999999887e-01
5.789999999999999591e-01,1.623043160000000040e-01
5.799999999999999600e-01,1.619925219999999999e-01
5.809999999999999609e-01,1.616772589999999898e-01
5.819999999999999618e-01,1.613833139999999999e-01
5.829999999999999627e-01,1.611000180000000115e-01
5.839999999999999636e-01,1.607851070000000104e-01
5.849999999999999645e-01,1.604369340000000033e-01
5.859999999999999654e-01,1.600812799999999925e-01
5.869999999999999662e-01,1.597304519999999950e-01
5.879999999999999671e-01,1.593453270000000088e-01
5.889999999999999680e-01,1.589666730000000028e-01
5.899999999999999689e-01,1.585785829999999952e-01
5.909999999999999698e-01,1.581633600000000028e-01
5.919999999999999707e-01,1.578523259999999873e-01
5.929999999999999716e-01,1.574989619999999924e-01
5.939999999999999725e-01,1.570591090000000023e-01
5.949999999999999734e-01,1.566332830000000120e-01
5.959999999999999742e-01,1.561699709999999908e-01
5.969999999999999751e-01,1.556733369999999950e-01
5.979999999999999760e-01,1.551576100000000014e-01
5.989999999999999769e-01,1.546372109999999966e-01
5.999999999999999778e-01,1.540315559999999862e-01
6.009999999999999787e-01,1.533483619999999881e-01
6.019999999999999796e-01,1.526442590000000044e-01
6.029999999999999805e-01,1.518930000000000002e-01
6.039999999999999813e-01,1.511602270000000081e-01
6.049999999999999822e-01,1.504509400000000052e-01
6.059999999999999831e-01,1.496671880000000066e-01
6.069999999999999840e-01,1.489330419999999877e-01
6.079999999999999849e-01,1.483389499999999972e-01
6.089999999999999858e-01,1.479501109999999953e-01
6.099999999999999867e-01,1.477996179999999937e-01
6.109999999999999876e-01,1.476221430000000112e-01
6.119999999999999885e-01,1.472022229999999932e-01
6.129999999999999893e-01,1.464034640000000109e-01
6.139999999999999902e-01,1.457415230000000117e-01
6.149999999999999911e-01,1.452229790000000020e-01
6.159999999999999920e-01,1.447911580000000031e-01
6.169999999999999929e-01,1.444352240000000009e-01
6.179999999999999938e-01,1.442067680000000129e-01
6.189999999999999947e-01,1.440891320000000086e-01
6.199999999999999956e-01,1.440385339999999958e-01
6.209999999999999964e-01,1.440129079999999950e-01
6.219999999999999973e-01,1.440661900000000106e-01
6.229999999999999982e-01,1.441767320000000019e-01
6.239999999999999991e-01,1.442620930000000079e-01
6.250000000000000000e-01,1.443979310000000071e-01
6.260000000000000009e-01,1.445536659999999973e-01
6.270000000000000018e-01,1.446977249999999993e-01
6.280000000000000027e-01,1.448370200000000108e-01
6.290000000000000036e-01,1.449600219999999939e-01
6.300000000000000044e-01,1.450338150000000104e-01
6.310000000000000053e-01,1.450171419999999878e-01
6.320000000000000062e-01,1.448818400000000117e-01
6.330000000000000071e-01,1.446022859999999965e-01
6.340000000000000080e-01,1.441595589999999927e-01
